regno,name,type,extension
0,r0,general,X-main
1,r1,general,X-main
2,r2,general,X-main
3,r3,general,X-main
4,r4,general,X-main
5,r5,general,X-main
6,r6,general,X-main
7,r7,general,X-main
8,r8,general,X-main
9,r9,general,X-main
10,r10,general,X-main
11,r11,general,X-main
12,r12,general,X-main
13,r13,general,X-main
14,r14,general,X-main
15,r15,general,X-main
16,ip,readonly,X-main
17,flags,status,X-main
18,mode,readonly,X-main
19,fpcw,status,X-float
24,f0,float,X-float
25,f1,float,X-float
26,f2,float,X-float
27,f3,float,X-float
28,f4,float,X-float
29,f5,float,X-float
30,f6,float,X-float
31,f7,float,X-float
63,--,reserved,X-main
64,v0l,vechalf,X-vector 
65,v0h,vechalf,X-vector
66,v1l,vechalf,X-vector
67,v1h,vechalf,X-vector
68,v2l,vechalf,X-vector
69,v2h,vechalf,X-vector
70,v3l,vechalf,X-vector
71,v3h,vechalf,X-vector
72,v4l,vechalf,X-vector
73,v4h,vechalf,X-vector
74,v5l,vechalf,X-vector
75,v5h,vechalf,X-vector
76,v6l,vechalf,X-vector
77,v6h,vechalf,X-vector
78,v7l,vechalf,X-vector
79,v7h,vechalf,X-vector
80,v8l,vechalf,X-vector
81,v8h,vechalf,X-vector
82,v9l,vechalf,X-vector
83,v9h,vechalf,X-vector
84,v10l,vechalf,X-vector
85,v10h,vechalf,X-vector
86,v11l,vechalf,X-vector
87,v11h,vechalf,X-vector
88,v12l,vechalf,X-vector
89,v12h,vechalf,X-vector
90,v13l,vechalf,X-vector
91,v13h,vechalf,X-vector
92,v14l,vechalf,X-vector
93,v14h,vechalf,X-vector
94,v15l,vechalf,X-vector
95,v15h,vechalf,X-vector
128,cr0,ctrl,X-main
129,cr1,ctrl,X-main
130,cr2,ctrl,X-main
131,cr3,ctrk,X-main
132,cr4,ctrl,X-main
133,cr5,ctrl,X-main
134,cr6,ctrl,X-main
135,cr7,ctrl,X-main
136,cpuidlo,cpuinfo,X-main
137,cpuidhi,cpuinfo,X-main
138,cpuex2,cpuinfo,X-main
139,cpuex3,cpuinfo,X-main
140,cpuex4,cpuinfo,X-main
141,cpuex5,cpuinfo,X-main
142,cpuex6,cpuinfo,X-main
143,mscpuex,cpuinfo,X-main
148,msr0,machine,X-main
149,msr1,machine,X-main
150,msr2,machine,X-main
151,msr3,machine,X-main
152,msr4,machine,X-main
153,msr5,machine,X-main
154,msr6,machine,X-main
156,randinfo,sreadonly,X-rand
255,--,reserved,X-main
